number,time,event,station
1,6.860084156557895,New patient priority A1,Region 4
1,6.860084156557895,Ambulance dispatched,Ambulance 4.0
1,30.530885841588884,Task complete,Ambulance 4.0
2,19.128699705621823,New patient priority A2,Region 1
2,19.128699705621823,Ambulance dispatched,Ambulance 1.2
2,38.34389198968071,Task complete,Ambulance 1.2
3,8.921364794288978,New patient priority A2,Region 4
3,8.921364794288978,Ambulance dispatched,Ambulance 4.1
3,40.42292199417099,Task complete,Ambulance 4.1
4,12.037711451942126,New patient priority A1,Region 4
4,12.037711451942126,Ambulance dispatched,Ambulance 4.2
4,41.01507363171247,Task complete,Ambulance 4.2
5,24.709352126672,New patient priority A2,Region 1
5,24.709352126672,Ambulance dispatched,Ambulance 1.4
5,41.4913159037565,Task complete,Ambulance 1.4
6,16.397941129749807,New patient priority A2,Region 0
6,16.397941129749807,Ambulance dispatched,Ambulance 0.0
6,42.81569984470168,Task complete,Ambulance 0.0
7,30.530885841588884,Ambulance return to hub,Ambulance 4.0
7,43.03088584158888,Task complete,Ambulance 4.0
8,21.180503693961615,New patient priority B,Region 0
8,21.180503693961615,Ambulance dispatched,Ambulance 0.1
8,43.83779583710876,Task complete,Ambulance 0.1
9,23.35211980572057,New patient priority A1,Region 3
9,23.35211980572057,Ambulance dispatched,Ambulance 3.1
9,43.84816431915994,Task complete,Ambulance 3.1
10,22.862745965143592,New patient priority A2,Region 1
10,22.862745965143592,Ambulance dispatched,Ambulance 1.3
10,45.55883439390415,Task complete,Ambulance 1.3
11,20.13456644063116,New patient priority A2,Region 3
11,20.13456644063116,Ambulance dispatched,Ambulance 3.0
11,45.65684524594625,Task complete,Ambulance 3.0
12,27.4035613047134,New patient priority A2,Region 0
12,27.4035613047134,Ambulance dispatched,Ambulance 0.5
12,47.28710736129693,Task complete,Ambulance 0.5
13,29.792904377235114,New patient priority A2,Region 4
13,29.792904377235114,Ambulance dispatched,Ambulance 4.10
13,47.357664787045124,Task complete,Ambulance 4.10
14,10.314952309062402,New patient priority A2,Region 1
14,10.314952309062402,Ambulance dispatched,Ambulance 1.0
14,49.16306259679823,Task complete,Ambulance 1.0
15,27.95963199563143,New patient priority A1,Region 1
15,27.95963199563143,Ambulance dispatched,Ambulance 1.7
15,49.3095349939984,Task complete,Ambulance 1.7
16,27.440845222399577,New patient priority A2,Region 4
16,27.440845222399577,Ambulance dispatched,Ambulance 4.8
16,50.83089384656121,Task complete,Ambulance 4.8
17,26.943680121604523,New patient priority A1,Region 1
17,26.943680121604523,Ambulance dispatched,Ambulance 1.6
17,51.21700190666805,Task complete,Ambulance 1.6
18,35.815312108045,New patient priority A2,Region 1
18,35.815312108045,Ambulance dispatched,Ambulance 1.11
18,53.627999247380274,Task complete,Ambulance 1.11
19,21.32063967607538,New patient priority B,Region 4
19,21.32063967607538,Ambulance dispatched,Ambulance 4.4
19,53.69448236820738,Task complete,Ambulance 4.4
20,29.392071005202535,New patient priority B,Region 3
20,29.392071005202535,Ambulance dispatched,Ambulance 3.6
20,53.88598385218381,Task complete,Ambulance 3.6
21,31.521942424334952,New patient priority A1,Region 4
21,31.521942424334952,Ambulance dispatched,Ambulance 4.11
21,53.95658308908367,Task complete,Ambulance 4.11
22,33.95155151034889,New patient priority A2,Region 0
22,33.95155151034889,Ambulance dispatched,Ambulance 0.9
22,55.259216278403386,Task complete,Ambulance 0.9
23,43.03088584158888,Ambulance return to hub,Ambulance 4.0
23,55.53088584158888,Task complete,Ambulance 4.0
24,30.964405916020556,New patient priority B,Region 3
24,30.964405916020556,Ambulance dispatched,Ambulance 3.7
24,55.92534452904181,Task complete,Ambulance 3.7
25,30.587418586013214,New patient priority A1,Region 1
25,30.587418586013214,Ambulance dispatched,Ambulance 1.9
25,56.351794610527,Task complete,Ambulance 1.9
26,26.14711366380393,New patient priority A2,Region 3
26,26.14711366380393,Ambulance dispatched,Ambulance 3.3
26,57.672740581336015,Task complete,Ambulance 3.3
27,45.55883439390415,Ambulance return to hub,Ambulance 1.3
27,58.05883439390415,Task complete,Ambulance 1.3
28,45.65684524594625,Ambulance return to hub,Ambulance 3.0
28,58.15684524594625,Task complete,Ambulance 3.0
29,32.66762342624996,New patient priority A1,Region 1
29,32.66762342624996,Ambulance dispatched,Ambulance 1.10
29,59.97270402286503,Task complete,Ambulance 1.10
30,26.40327358660422,New patient priority A2,Region 0
30,26.40327358660422,Ambulance dispatched,Ambulance 0.4
30,60.9141966878739,Task complete,Ambulance 0.4
31,26.440796092243694,New patient priority A1,Region 4
31,26.440796092243694,Ambulance dispatched,Ambulance 4.7
31,60.93213443912608,Task complete,Ambulance 4.7
32,49.16306259679823,Ambulance return to hub,Ambulance 1.0
32,61.66306259679823,Task complete,Ambulance 1.0
33,37.92664244956368,New patient priority A1,Region 4
33,37.92664244956368,Ambulance dispatched,Ambulance 4.13
33,62.034572313224274,Task complete,Ambulance 4.13
34,25.3097443052833,New patient priority A1,Region 0
34,25.3097443052833,Ambulance dispatched,Ambulance 0.3
34,62.518721339609385,Task complete,Ambulance 0.3
35,36.66717457655296,New patient priority A1,Region 3
35,36.66717457655296,Ambulance dispatched,Ambulance 3.9
35,63.27020086849286,Task complete,Ambulance 3.9
36,45.09554682842256,New patient priority A1,Region 1
36,45.09554682842256,Ambulance dispatched,Ambulance 1.13
36,63.457831335470246,Task complete,Ambulance 1.13
37,29.114312549181832,New patient priority A2,Region 1
37,29.114312549181832,Ambulance dispatched,Ambulance 1.8
37,63.61383482378691,Task complete,Ambulance 1.8
38,51.21700190666805,Ambulance return to hub,Ambulance 1.6
38,63.71700190666805,Task complete,Ambulance 1.6
39,46.60045573930998,New patient priority A1,Region 4
39,46.60045573930998,Ambulance dispatched,Ambulance 4.15
39,63.97898269835433,Task complete,Ambulance 4.15
40,23.912284840046613,New patient priority A2,Region 4
40,23.912284840046613,Ambulance dispatched,Ambulance 4.5
40,64.61683210974458,Task complete,Ambulance 4.5
41,42.91627055019461,New patient priority A2,Region 4
41,42.91627055019461,Ambulance dispatched,Ambulance 4.14
41,64.90675137810852,Task complete,Ambulance 4.14
42,53.88598385218381,Ambulance return to hub,Ambulance 3.6
42,66.38598385218381,Task complete,Ambulance 3.6
43,37.75698708359642,New patient priority A2,Region 0
43,37.75698708359642,Ambulance dispatched,Ambulance 0.10
43,66.87727622375947,Task complete,Ambulance 0.10
44,27.15431920898321,New patient priority B,Region 3
44,27.15431920898321,Ambulance dispatched,Ambulance 3.4
44,67.33031928263969,Task complete,Ambulance 3.4
45,45.30847131300686,New patient priority A1,Region 2
45,45.30847131300686,Ambulance dispatched,Ambulance 2.0
45,67.79105727281757,Task complete,Ambulance 2.0
46,14.144813934370124,New patient priority A1,Region 1
46,14.144813934370124,Ambulance dispatched,Ambulance 1.1
46,68.68192525156714,Task complete,Ambulance 1.1
47,48.425210498945,New patient priority A1,Region 4
47,48.425210498945,Ambulance dispatched,Ambulance 4.16
47,69.45891916195295,Task complete,Ambulance 4.16
48,47.64167951694606,New patient priority B,Region 1
48,47.64167951694606,Ambulance dispatched,Ambulance 1.14
48,69.83792397746333,Task complete,Ambulance 1.14
49,34.06600742257879,New patient priority A2,Region 4
49,34.06600742257879,Ambulance dispatched,Ambulance 4.12
49,70.19348380355433,Task complete,Ambulance 4.12
50,46.50895406570073,New patient priority A1,Region 0
50,46.50895406570073,Ambulance dispatched,Ambulance 0.12
50,70.19441185921147,Task complete,Ambulance 0.12
51,45.81398417085996,New patient priority A1,Region 3
51,45.81398417085996,Ambulance dispatched,Ambulance 3.11
51,70.32184330995254,Task complete,Ambulance 3.11
52,58.15684524594625,Ambulance return to hub,Ambulance 3.0
52,70.65684524594624,Task complete,Ambulance 3.0
53,48.373329090161555,New patient priority B,Region 0
53,48.373329090161555,Ambulance dispatched,Ambulance 0.13
53,70.70246913911618,Task complete,Ambulance 0.13
54,49.59238018654782,New patient priority A2,Region 0
54,49.59238018654782,Ambulance dispatched,Ambulance 0.14
54,71.10242455505414,Task complete,Ambulance 0.14
55,49.63190632796602,New patient priority B,Region 4
55,49.63190632796602,Ambulance dispatched,Ambulance 4.17
55,72.34070826225391,Task complete,Ambulance 4.17
56,29.73922822570529,New patient priority B,Region 0
56,29.73922822570529,Ambulance dispatched,Ambulance 0.7
56,73.74081042749478,Task complete,Ambulance 0.7
57,51.62944224630864,New patient priority B,Region 0
57,51.62944224630864,Ambulance dispatched,Ambulance 0.16
57,75.64833890241691,Task complete,Ambulance 0.16
58,50.21191836780221,New patient priority A2,Region 2
58,50.21191836780221,Ambulance dispatched,Ambulance 2.3
58,75.97935404965236,Task complete,Ambulance 2.3
59,50.61455386122036,New patient priority A2,Region 0
59,50.61455386122036,Ambulance dispatched,Ambulance 0.15
59,76.14404083445453,Task complete,Ambulance 0.15
60,53.60293995843853,New patient priority A1,Region 2
60,53.60293995843853,Ambulance dispatched,Ambulance 2.6
60,76.34446006767125,Task complete,Ambulance 2.6
61,49.13996436843565,New patient priority A2,Region 2
61,49.13996436843565,Ambulance dispatched,Ambulance 2.2
61,77.08842410422567,Task complete,Ambulance 2.2
62,52.22149979566721,New patient priority A2,Region 1
62,56.351794610527,Ambulance dispatched,Ambulance 1.9
62,78.84381540787498,Task complete,Ambulance 1.9
63,33.22650258373927,New patient priority A1,Region 3
63,33.22650258373927,Ambulance dispatched,Ambulance 3.8
63,78.91447379193536,Task complete,Ambulance 3.8
64,52.47258281596556,New patient priority A2,Region 3
64,52.47258281596556,Ambulance dispatched,Ambulance 3.16
64,79.3005025806157,Task complete,Ambulance 3.16
65,67.79105727281757,Ambulance return to hub,Ambulance 2.0
65,80.29105727281757,Task complete,Ambulance 2.0
66,28.507174556146726,New patient priority B,Region 4
66,28.507174556146726,Ambulance dispatched,Ambulance 4.9
66,82.87454821922516,Task complete,Ambulance 4.9
67,58.0174357763256,New patient priority A2,Region 2
67,58.0174357763256,Ambulance dispatched,Ambulance 2.8
67,83.09576507887412,Task complete,Ambulance 2.8
68,51.36956016911482,New patient priority A2,Region 3
68,51.36956016911482,Ambulance dispatched,Ambulance 3.15
68,83.24981517874346,Task complete,Ambulance 3.15
69,49.317308040582894,New patient priority B,Region 3
69,49.317308040582894,Ambulance dispatched,Ambulance 3.13
69,83.32919742978235,Task complete,Ambulance 3.13
70,49.06968111433356,New patient priority A1,Region 1
70,49.06968111433356,Ambulance dispatched,Ambulance 1.15
70,84.18092717502654,Task complete,Ambulance 1.15
71,47.745373358021254,New patient priority A2,Region 2
71,47.745373358021254,Ambulance dispatched,Ambulance 2.1
71,87.27399693126902,Task complete,Ambulance 2.1
72,51.212152190448954,New patient priority A2,Region 2
72,51.212152190448954,Ambulance dispatched,Ambulance 2.4
72,87.86523000573877,Task complete,Ambulance 2.4
73,56.313753088817315,New patient priority A1,Region 0
73,56.313753088817315,Ambulance dispatched,Ambulance 0.9
73,88.17028867729472,Task complete,Ambulance 0.9
74,75.97935404965236,Ambulance return to hub,Ambulance 2.3
74,88.47935404965236,Task complete,Ambulance 2.3
75,52.290379751025974,New patient priority A1,Region 2
75,52.290379751025974,Ambulance dispatched,Ambulance 2.5
75,88.80676768723825,Task complete,Ambulance 2.5
76,76.34446006767125,Ambulance return to hub,Ambulance 2.6
76,88.84446006767125,Task complete,Ambulance 2.6
